Website,XSSed,longUrlCount,maxUrlSize,xssCount,obfuscatedCharCount
webcenters.netscape.compuserve.com,1,Failed to open the website!,,,
store.samsung.com,0,0,59,5,0
auth.dhs.gov,0,0,101,0,0
www.titivillus.it,0,1,158,0,0
www.brazzers.com,0,Failed to open the website!,,,
www-ssrl.slac.stanford.edu,1,2,234,12,0
touch.afisha.mail.ru,0,0,110,0,0
touch.tv.mail.ru,0,0,116,0,0
english.sinopec.com,0,0,0,0,0
www.fbi.com,0,Failed to open the website!,,,
